id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
151,31 5 10,30,ND,ND,ND,ND,ND,ND,ND,ND
152,01 6 10,30,ND,ND,ND,ND,ND,ND,ND,ND
153,02 6 10,26,ND,ND,ND,ND,ND,ND,ND,ND
154,03 6 10,37,ND,ND,ND,ND,ND,ND,ND,ND
155,04 6 10,53,ND,ND,ND,ND,ND,ND,ND,ND
156,05 6 10,48,ND,ND,ND,ND,ND,ND,ND,ND
157,06 6 10,35,ND,ND,ND,ND,ND,ND,ND,ND
158,07 6 10,23,ND,ND,ND,ND,ND,ND,ND,ND
159,08 6 10,27,ND,ND,ND,ND,ND,ND,ND,ND
160,09 6 10,33,ND,ND,ND,ND,ND,ND,ND,ND
161,10 6 10,31,ND,ND,ND,ND,ND,ND,ND,ND
162,11 6 10,38,ND,ND,ND,ND,ND,ND,ND,ND
163,12 6 10,40,ND,ND,ND,ND,ND,ND,ND,ND
164,13 6 10,34,ND,ND,ND,ND,ND,ND,ND,ND
165,14 6 10,17,ND,ND,ND,ND,ND,ND,ND,ND
166,15 6 10,13,ND,ND,ND,ND,ND,ND,ND,ND
167,16 6 10,32,3,ND,ND,ND,ND,ND,ND,ND
168,17 6 10,33,17,ND,ND,ND,ND,ND,ND,ND
169,18 6 10,27,24,ND,ND,ND,ND,ND,ND,ND
170,19 6 10,30,22,ND,ND,ND,ND,ND,ND,ND
171,20 6 10,27,19,ND,ND,ND,ND,ND,ND,ND
172,21 6 10,25,28,ND,ND,ND,ND,ND,ND,ND
173,22 6 10,29,33,ND,ND,ND,ND,ND,ND,ND
174,23 6 10,36,39,ND,ND,ND,ND,ND,ND,ND
175,24 6 10,28,18,ND,ND,ND,ND,ND,ND,ND
176,25 6 10,40,24,ND,ND,ND,ND,ND,ND,ND
177,26 6 10,38,25,ND,ND,ND,ND,ND,ND,ND
178,27 6 10,29,24,ND,ND,ND,ND,ND,ND,ND
179,28 6 10,25,27,ND,ND,ND,ND,ND,ND,ND
180,29 6 10,33,31,ND,ND,ND,ND,ND,ND,ND
181,30 6 10,33,24,ND,ND,ND,ND,ND,ND,ND
182,01 7 10,33,50,ND,ND,ND,ND,ND,ND,ND
183,02 7 10,28,36,ND,ND,ND,ND,ND,ND,ND
184,03 7 10,34,38,ND,ND,ND,ND,ND,ND,ND
185,04 7 10,29,36,ND,ND,ND,ND,ND,ND,ND
186,05 7 10,21,30,ND,ND,ND,ND,ND,ND,ND
187,06 7 10,23,17,ND,ND,ND,ND,ND,ND,ND
188,07 7 10,20,21,ND,ND,ND,ND,ND,ND,ND
189,08 7 10,31,32,ND,ND,ND,ND,ND,ND,ND
190,09 7 10,32,33,ND,ND,ND,ND,ND,ND,ND
191,10 7 10,29,31,ND,ND,ND,ND,ND,ND,ND
192,11 7 10,27,32,ND,ND,ND,ND,ND,ND,ND
193,12 7 10,18,14,ND,ND,ND,ND,ND,ND,ND
194,13 7 10,23,31,ND,ND,ND,ND,ND,ND,ND
195,14 7 10,28,37,ND,ND,ND,ND,ND,ND,ND
196,15 7 10,27,29,ND,ND,ND,ND,ND,ND,ND
197,16 7 10,26,25,ND,ND,ND,ND,ND,ND,ND
198,17 7 10,37,33,ND,ND,ND,ND,ND,ND,ND
199,18 7 10,40,36,ND,ND,ND,ND,ND,ND,ND
200,19 7 10,25,30,ND,ND,ND,ND,ND,ND,ND
201,20 7 10,27,32,ND,ND,ND,ND,ND,ND,ND
202,21 7 10,23,30,ND,ND,ND,ND,ND,ND,ND
203,22 7 10,23,34,ND,ND,ND,ND,ND,ND,ND
204,23 7 10,33,44,ND,ND,ND,ND,ND,ND,ND
205,24 7 10,36,45,ND,ND,ND,ND,ND,ND,ND
206,25 7 10,32,52,ND,ND,ND,ND,ND,ND,ND
207,26 7 10,23,30,ND,ND,ND,ND,ND,ND,ND
208,27 7 10,26,39,ND,ND,ND,ND,ND,ND,ND
209,28 7 10,28,34,ND,ND,ND,ND,ND,ND,ND
210,29 7 10,28,29,ND,ND,ND,ND,ND,ND,ND
211,30 7 10,29,29,ND,ND,ND,ND,ND,ND,ND
212,31 7 10,23,17,ND,ND,ND,ND,ND,ND,ND
213,01 8 10,23,16,ND,ND,ND,ND,ND,ND,ND
214,02 8 10,27,27,ND,ND,ND,ND,ND,ND,ND
215,03 8 10,26,19,ND,ND,ND,ND,ND,ND,ND
216,04 8 10,28,26,ND,ND,ND,ND,ND,ND,ND
217,05 8 10,41,43,ND,ND,ND,ND,ND,ND,ND
218,06 8 10,36,43,ND,ND,ND,ND,ND,ND,ND
219,07 8 10,18,29,ND,ND,ND,ND,ND,ND,ND
220,08 8 10,11,28,ND,ND,ND,ND,ND,ND,ND
221,09 8 10,24,34,ND,ND,ND,ND,ND,ND,ND
222,10 8 10,35,46,ND,ND,ND,ND,ND,ND,ND
223,11 8 10,40,39,ND,ND,ND,ND,ND,ND,ND
224,12 8 10,42,40,ND,ND,ND,ND,ND,ND,ND
225,13 8 10,43,35,ND,ND,ND,ND,ND,ND,ND
226,14 8 10,57,34,ND,ND,ND,ND,ND,ND,ND
227,15 8 10,61,30,ND,ND,ND,ND,ND,ND,ND
228,16 8 10,41,32,ND,ND,ND,ND,ND,ND,ND
229,17 8 10,34,26,ND,ND,ND,ND,ND,ND,ND
230,18 8 10,34,72,ND,ND,ND,ND,ND,ND,ND
231,19 8 10,34,72,ND,ND,ND,ND,ND,ND,ND
232,20 8 10,38,47,ND,ND,ND,ND,ND,ND,ND
233,21 8 10,35,51,ND,ND,ND,ND,ND,ND,ND
234,22 8 10,32,51,ND,ND,ND,ND,ND,ND,ND
235,23 8 10,46,38,ND,ND,ND,ND,ND,ND,ND
236,24 8 10,48,43,ND,ND,ND,ND,ND,ND,ND
237,25 8 10,41,40,ND,ND,ND,ND,ND,ND,ND
238,26 8 10,38,37,ND,ND,ND,ND,ND,ND,ND
239,27 8 10,32,29,ND,ND,ND,ND,ND,ND,ND
240,28 8 10,33,26,ND,ND,ND,ND,ND,ND,ND
241,29 8 10,32,24,ND,ND,ND,ND,ND,ND,ND
242,30 8 10,23,29,ND,ND,ND,ND,ND,ND,ND
243,31 8 10,22,25,ND,ND,ND,ND,ND,ND,ND
244,01 9 10,26,26,ND,ND,ND,ND,ND,ND,ND
245,02 9 10,22,27,ND,ND,ND,ND,ND,ND,ND
246,03 9 10,45,51,ND,ND,ND,ND,ND,ND,ND
247,04 9 10,46,50,ND,ND,ND,ND,ND,ND,ND
248,05 9 10,26,34,ND,ND,ND,ND,ND,ND,ND
249,06 9 10,33,34,ND,ND,ND,ND,ND,ND,ND
250,07 9 10,51,40,ND,ND,ND,ND,ND,ND,ND
251,08 9 10,52,41,ND,ND,ND,ND,ND,ND,ND
252,09 9 10,40,45,ND,ND,ND,ND,ND,ND,ND
253,10 9 10,34,52,ND,ND,ND,ND,ND,ND,ND
254,11 9 10,35,52,ND,ND,ND,ND,ND,ND,ND
255,12 9 10,23,36,ND,ND,ND,ND,ND,ND,ND
256,13 9 10,31,27,ND,ND,ND,ND,ND,ND,ND
257,14 9 10,37,41,ND,ND,ND,ND,ND,ND,ND
258,15 9 10,41,47,ND,ND,ND,ND,ND,ND,ND
